location,number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,SalePrice
Phường 9 Quận 4,4,1,1,1,59,4797.5341
Phường An Lạc Quận Bình Tân,3,1,1,1,95.6,2507.63709
Phường 3 Quận 3,6,0,0,0,129.4,9479.052
Phường 5 Quận Phú Nhuận,3,0,0,0,101.3,5653.08
Phường 7 Quận 3,9,0,0,0,249.3,13664.4
Phường 9 Quận 4,8,1,1,1,87,7257.6
Phường 4 Quận 3,5,1,0,1,122.8,11902.752
Phường 6 Quận 10,3,0,0,0,59.5,4477.8
Phường 13 Quận 11,3,1,1,1,29.9,1406.7387
Phường Bình Trị Đông B Quận Bình Tân,5,1,0,1,494.4,21492.48
Phường 11 Quận 6,6,1,1,1,633,42549
Phường 3 Quận Phú Nhuận,4,0,0,0,382,19732.104
Phường 7 Quận Phú Nhuận,4,1,0,1,111.2,17378.879
Phường 5 Quận Gò Vấp,3,1,1,1,279.8,6000.5584
Phường 4 Quận 8,14,0,0,0,268,20995.2
Phường Tân Hưng Quận 7,8,1,1,1,271.2,16376.14485
Phường Bình Thọ Thành phố Thủ Đức,11,1,0,1,669.4,27353.9097
Phường 9 Quận Tân Bình,19,1,0,1,310,8728
Phường Linh Đông Thành phố Thủ Đức,4,1,0,1,631.6,69033.88
Phường 8 Quận Gò Vấp,10,1,0,0,1053.1,29340.9675
Phường Cô Giang Quận 1,7,1,1,1,480.1,29002.29
Phường 6 Quận 6,5,0,0,0,720,37998
Phường 3 Quận Tân Bình,3,1,0,1,612.5,25765.335
Phường 6 Quận Gò Vấp,20,0,1,1,962,26112.3692
Phường 4 Quận 3,4,1,1,1,638.8,43289.82
Phường Bình Trưng Đông Quận 2,21,1,0,1,789.9,30033.8874
Phường Tân Phú Quận 9,22,0,0,1,780.8,54774.522
Phường 3 Quận Bình Thạnh,4,0,0,1,85.2,7170.2194
Phường 8 Quận Phú Nhuận,39,0,0,0,800,25659.46
Phường Cô Giang Quận 1,9,0,0,1,323.9,11584.5996
Phường Đa Kao Quận 1,3,1,1,1,88.5,13626.2412
Phường 10 Quận Gò Vấp,4,1,0,1,339.3,35534.79915
Phường 14 Quận Gò Vấp,38,1,0,1,466.8,49974.6
Phường Bình Hưng Hòa A Quận Bình Tân,41,1,1,1,700,25632
Phường 15 Quận Tân Bình,8,0,0,0,420.7,22429.44
Phường 16 Quận 8,28,1,0,1,633.9,15520
Phường 11 Quận 6,10,1,1,1,900,33504
Phường An Phú Đông Quận 12,22,1,0,1,336.8,5922.432
Phường Tân Quy Quận 7,16,1,0,1,684.8,14198.4
Phường 2 Quận Phú Nhuận,10,0,0,0,343.4,75560
Phường Tân Tạo Quận Bình Tân,36,1,1,1,252.8,11884.07304
Phường 11 Quận Tân Bình,8,1,1,1,323.2,14774.47875
Phường 11 Quận 3,3,1,0,1,239,15992.76
Phường Nguyễn Cư Trinh Quận 1,14,1,0,1,270,15537.1986
Phường Tân Phú Quận 7,6,0,0,0,408.6,24994.2
Phường Tân Định Quận 1,3,1,1,1,144,9017.91984
Phường 14 Quận Tân Bình,5,0,0,0,170.5,12070.08012
Phường Bến Nghé Quận 1,10,1,0,0,354,25171.2
Phường 7 Quận 6,6,1,0,1,204,16393.61655
Phường 10 Quận Phú Nhuận,20,0,1,1,659.3,54367.5
Phường 14 Quận 3,38,0,0,0,1015.1,39448.24576
