number_of_bedroom,access_to_school,access_to_hospital,access_to_market,total_sqft,loc_lat,loc_long
4,1,1,1,216.1,10.7873298,106.6571777
8,0,0,0,494.5,10.7595704,106.6671516
5,1,0,1,352,10.7884755,106.698318
4,1,0,1,209.8,10.7372638,106.6218079
5,1,0,1,223.4,10.8811994,106.5891292
9,1,1,1,270,10.8023039,106.6435165
3,0,0,0,52.7,10.7607223,106.6596551
7,0,0,0,231.4,10.8060217,106.7094801
8,1,0,1,256.2,10.7610553,106.7074873
4,0,0,0,204.4,10.8122091,106.6994073
3,1,1,1,27.8,10.7607223,106.6596551
4,0,1,1,218.5,10.7959341,106.6791511
4,0,0,0,32.8,10.7552957,106.6765197
3,1,0,1,139.9,10.7790986,106.624253
8,0,0,0,294.8,10.8308859,106.6874859
4,0,0,0,340,10.7539583,106.6445479
5,0,0,0,146.5,10.7837309,106.6544324
5,0,0,0,277.1,10.7577824,106.6584223
4,1,0,1,270.3,10.7808131,106.7579622
